video_id,t_sec,hhmmss,path,mean_diff,n_frames
a9gHtD7E9AY,4.4,000004,a9gHtD7E9AY_000004.jpg,2.831,2
a9gHtD7E9AY,5.2,000005,a9gHtD7E9AY_000005.jpg,2.955,2
a9gHtD7E9AY,6.2,000006,a9gHtD7E9AY_000006.jpg,2.713,2
a9gHtD7E9AY,6.8,000007,a9gHtD7E9AY_000007.jpg,2.664,2
a9gHtD7E9AY,7.8,000008,a9gHtD7E9AY_000008.jpg,2.994,2
a9gHtD7E9AY,9.2,000009,a9gHtD7E9AY_000009.jpg,2.646,2
a9gHtD7E9AY,10.2,000010,a9gHtD7E9AY_000010.jpg,2.468,6
a9gHtD7E9AY,11.2,000011,a9gHtD7E9AY_000011.jpg,2.323,5
a9gHtD7E9AY,12.8,000013,a9gHtD7E9AY_000013.jpg,2.201,2
a9gHtD7E9AY,13.8,000014,a9gHtD7E9AY_000014.jpg,2.247,7
a9gHtD7E9AY,15.0,000015,a9gHtD7E9AY_000015.jpg,1.942,5
a9gHtD7E9AY,16.6,000017,a9gHtD7E9AY_000017.jpg,1.624,7
a9gHtD7E9AY,19.0,000019,a9gHtD7E9AY_000019.jpg,0.261,16
a9gHtD7E9AY,25.2,000025,a9gHtD7E9AY_000025.jpg,0.067,15
a9gHtD7E9AY,32.0,000032,a9gHtD7E9AY_000032.jpg,0.16,16
a9gHtD7E9AY,38.2,000038,a9gHtD7E9AY_000038.jpg,0.098,15
a9gHtD7E9AY,43.2,000043,a9gHtD7E9AY_000043.jpg,0.136,15
a9gHtD7E9AY,48.4,000048,a9gHtD7E9AY_000048.jpg,0.217,15
a9gHtD7E9AY,55.0,000055,a9gHtD7E9AY_000055.jpg,0.155,16
a9gHtD7E9AY,61.0,000101,a9gHtD7E9AY_000101.jpg,0.224,16
a9gHtD7E9AY,65.0,000105,a9gHtD7E9AY_000105.jpg,0.255,15
a9gHtD7E9AY,71.0,000111,a9gHtD7E9AY_000111.jpg,0.071,15
a9gHtD7E9AY,77.4,000117,a9gHtD7E9AY_000117.jpg,0.144,15
a9gHtD7E9AY,82.8,000123,a9gHtD7E9AY_000123.jpg,0.109,15
a9gHtD7E9AY,88.0,000128,a9gHtD7E9AY_000128.jpg,0.103,15
a9gHtD7E9AY,94.6,000135,a9gHtD7E9AY_000135.jpg,0.193,15
a9gHtD7E9AY,98.6,000139,a9gHtD7E9AY_000139.jpg,0.373,16
a9gHtD7E9AY,105.2,000145,a9gHtD7E9AY_000145.jpg,0.208,15
a9gHtD7E9AY,111.2,000151,a9gHtD7E9AY_000151.jpg,0.254,15
a9gHtD7E9AY,117.0,000157,a9gHtD7E9AY_000157.jpg,0.146,15
a9gHtD7E9AY,121.0,000201,a9gHtD7E9AY_000201.jpg,2.631,2
a9gHtD7E9AY,123.0,000203,a9gHtD7E9AY_000203.jpg,0.307,16
a9gHtD7E9AY,129.6,000210,a9gHtD7E9AY_000210.jpg,0.016,16
a9gHtD7E9AY,133.6,000214,a9gHtD7E9AY_000214.jpg,0.254,15
a9gHtD7E9AY,139.6,000220,a9gHtD7E9AY_000220.jpg,0.277,16
a9gHtD7E9AY,146.6,000227,a9gHtD7E9AY_000227.jpg,0.069,15
a9gHtD7E9AY,152.4,000232,a9gHtD7E9AY_000232.jpg,0.166,15
a9gHtD7E9AY,157.8,000238,a9gHtD7E9AY_000238.jpg,0.146,15
a9gHtD7E9AY,163.8,000244,a9gHtD7E9AY_000244.jpg,0.097,15
a9gHtD7E9AY,169.8,000250,a9gHtD7E9AY_000250.jpg,0.209,15
a9gHtD7E9AY,176.4,000256,a9gHtD7E9AY_000256.jpg,0.417,16
a9gHtD7E9AY,179.6,000300,a9gHtD7E9AY_000300.jpg,0.31,16
a9gHtD7E9AY,185.4,000305,a9gHtD7E9AY_000305.jpg,0.303,16
a9gHtD7E9AY,191.2,000311,a9gHtD7E9AY_000311.jpg,0.247,16
a9gHtD7E9AY,196.8,000317,a9gHtD7E9AY_000317.jpg,0.188,15
a9gHtD7E9AY,202.4,000322,a9gHtD7E9AY_000322.jpg,0.234,16
a9gHtD7E9AY,209.6,000330,a9gHtD7E9AY_000330.jpg,0.06,15
a9gHtD7E9AY,213.4,000333,a9gHtD7E9AY_000333.jpg,0.354,16
a9gHtD7E9AY,220.6,000341,a9gHtD7E9AY_000341.jpg,0.059,15
a9gHtD7E9AY,226.4,000346,a9gHtD7E9AY_000346.jpg,0.253,16
a9gHtD7E9AY,232.2,000352,a9gHtD7E9AY_000352.jpg,0.233,16
a9gHtD7E9AY,237.4,000357,a9gHtD7E9AY_000357.jpg,0.224,16
a9gHtD7E9AY,243.6,000404,a9gHtD7E9AY_000404.jpg,0.111,15
a9gHtD7E9AY,248.8,000409,a9gHtD7E9AY_000409.jpg,0.136,15
a9gHtD7E9AY,252.6,000413,a9gHtD7E9AY_000413.jpg,2.054,4
a9gHtD7E9AY,258.6,000419,a9gHtD7E9AY_000419.jpg,2.758,2
a9gHtD7E9AY,259.6,000420,a9gHtD7E9AY_000420.jpg,2.471,3
a9gHtD7E9AY,260.4,000420,a9gHtD7E9AY_000420_1.jpg,2.464,2
a9gHtD7E9AY,261.0,000421,a9gHtD7E9AY_000421.jpg,1.65,2
a9gHtD7E9AY,263.4,000423,a9gHtD7E9AY_000423.jpg,2.164,2
a9gHtD7E9AY,264.0,000424,a9gHtD7E9AY_000424.jpg,2.759,2
a9gHtD7E9AY,265.0,000425,a9gHtD7E9AY_000425.jpg,2.104,9
a9gHtD7E9AY,267.2,000427,a9gHtD7E9AY_000427.jpg,2.998,2
a9gHtD7E9AY,268.0,000428,a9gHtD7E9AY_000428.jpg,2.131,6
