video_id,t_sec,hhmmss,path,mean_diff,n_frames
aPVZJ6-loUI,8.8,000009,aPVZJ6-loUI_000009.jpg,0.771,2
aPVZJ6-loUI,10.0,000010,aPVZJ6-loUI_000010.jpg,2.184,3
aPVZJ6-loUI,10.8,000011,aPVZJ6-loUI_000011.jpg,0.946,5
aPVZJ6-loUI,85.8,000126,aPVZJ6-loUI_000126.jpg,2.425,25
aPVZJ6-loUI,156.0,000236,aPVZJ6-loUI_000236.jpg,2.83,2
aPVZJ6-loUI,157.0,000237,aPVZJ6-loUI_000237.jpg,2.773,2
aPVZJ6-loUI,158.0,000238,aPVZJ6-loUI_000238.jpg,2.707,2
aPVZJ6-loUI,159.0,000239,aPVZJ6-loUI_000239.jpg,2.957,2
aPVZJ6-loUI,202.0,000322,aPVZJ6-loUI_000322.jpg,2.861,2
aPVZJ6-loUI,315.4,000515,aPVZJ6-loUI_000515.jpg,0.043,50
