video_id,t_sec,hhmmss,path,mean_diff,n_frames
eA5_Nd4QGYM,1.8,000002,eA5_Nd4QGYM_000002.jpg,2.57,2
eA5_Nd4QGYM,3.2,000003,eA5_Nd4QGYM_000003.jpg,2.042,3
eA5_Nd4QGYM,4.4,000004,eA5_Nd4QGYM_000004.jpg,1.411,6
eA5_Nd4QGYM,5.2,000005,eA5_Nd4QGYM_000005.jpg,1.781,3
eA5_Nd4QGYM,6.6,000007,eA5_Nd4QGYM_000007.jpg,2.339,2
eA5_Nd4QGYM,7.4,000007,eA5_Nd4QGYM_000007_1.jpg,1.681,5
eA5_Nd4QGYM,8.6,000009,eA5_Nd4QGYM_000009.jpg,1.388,6
eA5_Nd4QGYM,9.8,000010,eA5_Nd4QGYM_000010.jpg,2.645,2
eA5_Nd4QGYM,10.4,000010,eA5_Nd4QGYM_000010_1.jpg,2.791,3
eA5_Nd4QGYM,11.0,000011,eA5_Nd4QGYM_000011.jpg,2.208,2
eA5_Nd4QGYM,11.6,000012,eA5_Nd4QGYM_000012.jpg,2.031,3
eA5_Nd4QGYM,13.6,000014,eA5_Nd4QGYM_000014.jpg,1.931,14
eA5_Nd4QGYM,15.6,000016,eA5_Nd4QGYM_000016.jpg,1.309,3
eA5_Nd4QGYM,17.8,000018,eA5_Nd4QGYM_000018.jpg,2.362,2
eA5_Nd4QGYM,18.2,000018,eA5_Nd4QGYM_000018_1.jpg,2.31,3
eA5_Nd4QGYM,21.4,000021,eA5_Nd4QGYM_000021.jpg,0.402,15
eA5_Nd4QGYM,28.4,000028,eA5_Nd4QGYM_000028.jpg,0.174,19
eA5_Nd4QGYM,36.2,000036,eA5_Nd4QGYM_000036.jpg,0.294,27
eA5_Nd4QGYM,40.2,000040,eA5_Nd4QGYM_000040.jpg,0.337,8
eA5_Nd4QGYM,45.8,000046,eA5_Nd4QGYM_000046.jpg,0.249,27
eA5_Nd4QGYM,51.2,000051,eA5_Nd4QGYM_000051.jpg,0.364,12
eA5_Nd4QGYM,58.6,000059,eA5_Nd4QGYM_000059.jpg,0.128,25
eA5_Nd4QGYM,66.4,000106,eA5_Nd4QGYM_000106.jpg,0.18,27
eA5_Nd4QGYM,74.6,000115,eA5_Nd4QGYM_000115.jpg,0.18,27
eA5_Nd4QGYM,83.2,000123,eA5_Nd4QGYM_000123.jpg,0.096,26
eA5_Nd4QGYM,90.6,000131,eA5_Nd4QGYM_000131.jpg,0.185,25
eA5_Nd4QGYM,97.6,000138,eA5_Nd4QGYM_000138.jpg,0.126,20
eA5_Nd4QGYM,105.6,000146,eA5_Nd4QGYM_000146.jpg,0.254,28
eA5_Nd4QGYM,111.0,000151,eA5_Nd4QGYM_000151.jpg,0.323,11
eA5_Nd4QGYM,112.6,000153,eA5_Nd4QGYM_000153.jpg,2.759,2
eA5_Nd4QGYM,119.2,000159,eA5_Nd4QGYM_000159.jpg,0.247,24
eA5_Nd4QGYM,126.8,000207,eA5_Nd4QGYM_000207.jpg,0.15,24
eA5_Nd4QGYM,133.6,000214,eA5_Nd4QGYM_000214.jpg,0.318,20
eA5_Nd4QGYM,141.2,000221,eA5_Nd4QGYM_000221.jpg,0.151,27
eA5_Nd4QGYM,148.2,000228,eA5_Nd4QGYM_000228.jpg,0.254,21
eA5_Nd4QGYM,154.8,000235,eA5_Nd4QGYM_000235.jpg,0.221,21
eA5_Nd4QGYM,161.8,000242,eA5_Nd4QGYM_000242.jpg,0.191,24
