video_id,t_sec,frame,crop,method,w,h
k3GQq_-rD1k,2.0,k3GQq_-rD1k_000002.jpg,k3GQq_-rD1k_000002.jpg,white_rect,490,221
k3GQq_-rD1k,2.8,k3GQq_-rD1k_000003.jpg,k3GQq_-rD1k_000003.jpg,white_rect,391,195
k3GQq_-rD1k,3.6,k3GQq_-rD1k_000004.jpg,k3GQq_-rD1k_000004.jpg,white_rect,382,196
k3GQq_-rD1k,4.2,k3GQq_-rD1k_000004_1.jpg,k3GQq_-rD1k_000004_1.jpg,white_rect,382,223
k3GQq_-rD1k,4.8,k3GQq_-rD1k_000005.jpg,k3GQq_-rD1k_000005.jpg,white_rect,381,223
k3GQq_-rD1k,6.4,k3GQq_-rD1k_000006.jpg,k3GQq_-rD1k_000006.jpg,white_rect,385,192
k3GQq_-rD1k,9.6,k3GQq_-rD1k_000010.jpg,k3GQq_-rD1k_000010.jpg,white_rect,387,192
k3GQq_-rD1k,14.0,k3GQq_-rD1k_000014.jpg,k3GQq_-rD1k_000014.jpg,white_rect,389,219
k3GQq_-rD1k,16.2,k3GQq_-rD1k_000016.jpg,k3GQq_-rD1k_000016.jpg,white_rect,386,191
k3GQq_-rD1k,17.6,k3GQq_-rD1k_000018.jpg,k3GQq_-rD1k_000018.jpg,white_rect,386,218
k3GQq_-rD1k,19.8,k3GQq_-rD1k_000020.jpg,k3GQq_-rD1k_000020.jpg,white_rect,535,179
k3GQq_-rD1k,21.8,k3GQq_-rD1k_000022.jpg,k3GQq_-rD1k_000022.jpg,white_rect,536,178
k3GQq_-rD1k,25.2,k3GQq_-rD1k_000025.jpg,k3GQq_-rD1k_000025.jpg,white_rect,622,194
k3GQq_-rD1k,31.0,k3GQq_-rD1k_000031.jpg,k3GQq_-rD1k_000031.jpg,white_rect,525,177
k3GQq_-rD1k,36.0,k3GQq_-rD1k_000036.jpg,k3GQq_-rD1k_000036.jpg,white_rect,622,182
k3GQq_-rD1k,41.2,k3GQq_-rD1k_000041.jpg,k3GQq_-rD1k_000041.jpg,white_rect,563,158
k3GQq_-rD1k,46.6,k3GQq_-rD1k_000047.jpg,k3GQq_-rD1k_000047.jpg,white_rect,434,106
k3GQq_-rD1k,51.6,k3GQq_-rD1k_000052.jpg,k3GQq_-rD1k_000052.jpg,white_rect,622,199
k3GQq_-rD1k,58.0,k3GQq_-rD1k_000058.jpg,k3GQq_-rD1k_000058.jpg,white_rect,372,127
k3GQq_-rD1k,61.8,k3GQq_-rD1k_000102.jpg,k3GQq_-rD1k_000102.jpg,white_rect,420,144
k3GQq_-rD1k,67.8,k3GQq_-rD1k_000108.jpg,k3GQq_-rD1k_000108.jpg,white_rect,455,146
k3GQq_-rD1k,73.2,k3GQq_-rD1k_000113.jpg,k3GQq_-rD1k_000113.jpg,white_rect,547,175
k3GQq_-rD1k,78.4,k3GQq_-rD1k_000118.jpg,k3GQq_-rD1k_000118.jpg,white_rect,512,178
k3GQq_-rD1k,83.2,k3GQq_-rD1k_000123.jpg,k3GQq_-rD1k_000123.jpg,white_rect,392,191
k3GQq_-rD1k,88.8,k3GQq_-rD1k_000129.jpg,k3GQq_-rD1k_000129.jpg,white_rect,622,147
k3GQq_-rD1k,93.8,k3GQq_-rD1k_000134.jpg,k3GQq_-rD1k_000134.jpg,white_rect,500,155
k3GQq_-rD1k,99.2,k3GQq_-rD1k_000139.jpg,k3GQq_-rD1k_000139.jpg,white_rect,242,138
k3GQq_-rD1k,104.6,k3GQq_-rD1k_000145.jpg,k3GQq_-rD1k_000145.jpg,white_rect,512,136
k3GQq_-rD1k,110.4,k3GQq_-rD1k_000150.jpg,k3GQq_-rD1k_000150.jpg,white_rect,592,194
k3GQq_-rD1k,114.6,k3GQq_-rD1k_000155.jpg,k3GQq_-rD1k_000155.jpg,white_rect,490,157
k3GQq_-rD1k,120.4,k3GQq_-rD1k_000200.jpg,k3GQq_-rD1k_000200.jpg,white_rect,419,214
k3GQq_-rD1k,126.8,k3GQq_-rD1k_000207.jpg,k3GQq_-rD1k_000207.jpg,white_rect,440,130
k3GQq_-rD1k,132.0,k3GQq_-rD1k_000212.jpg,k3GQq_-rD1k_000212.jpg,white_rect,430,173
k3GQq_-rD1k,137.6,k3GQq_-rD1k_000218.jpg,k3GQq_-rD1k_000218.jpg,white_rect,310,123
