video_id,t_sec,hhmmss,path,mean_diff,n_frames
k3GQq_-rD1k,2.0,000002,k3GQq_-rD1k_000002.jpg,1.972,2
k3GQq_-rD1k,2.8,000003,k3GQq_-rD1k_000003.jpg,2.863,2
k3GQq_-rD1k,3.6,000004,k3GQq_-rD1k_000004.jpg,2.128,3
k3GQq_-rD1k,4.2,000004,k3GQq_-rD1k_000004_1.jpg,2.875,3
k3GQq_-rD1k,4.8,000005,k3GQq_-rD1k_000005.jpg,2.283,2
k3GQq_-rD1k,6.4,000006,k3GQq_-rD1k_000006.jpg,1.575,4
k3GQq_-rD1k,9.6,000010,k3GQq_-rD1k_000010.jpg,2.701,2
k3GQq_-rD1k,14.0,000014,k3GQq_-rD1k_000014.jpg,2.299,2
k3GQq_-rD1k,16.2,000016,k3GQq_-rD1k_000016.jpg,2.291,10
k3GQq_-rD1k,17.6,000018,k3GQq_-rD1k_000018.jpg,2.226,5
k3GQq_-rD1k,19.8,000020,k3GQq_-rD1k_000020.jpg,0.304,16
k3GQq_-rD1k,21.8,000022,k3GQq_-rD1k_000022.jpg,2.105,2
k3GQq_-rD1k,25.2,000025,k3GQq_-rD1k_000025.jpg,0.206,15
k3GQq_-rD1k,31.0,000031,k3GQq_-rD1k_000031.jpg,0.176,15
k3GQq_-rD1k,36.0,000036,k3GQq_-rD1k_000036.jpg,0.213,16
k3GQq_-rD1k,41.2,000041,k3GQq_-rD1k_000041.jpg,0.272,15
k3GQq_-rD1k,46.6,000047,k3GQq_-rD1k_000047.jpg,0.138,15
k3GQq_-rD1k,51.6,000052,k3GQq_-rD1k_000052.jpg,0.2,15
k3GQq_-rD1k,58.0,000058,k3GQq_-rD1k_000058.jpg,0.048,15
k3GQq_-rD1k,61.8,000102,k3GQq_-rD1k_000102.jpg,0.116,16
k3GQq_-rD1k,67.8,000108,k3GQq_-rD1k_000108.jpg,0.053,15
k3GQq_-rD1k,73.2,000113,k3GQq_-rD1k_000113.jpg,0.283,15
k3GQq_-rD1k,78.4,000118,k3GQq_-rD1k_000118.jpg,0.313,16
k3GQq_-rD1k,83.2,000123,k3GQq_-rD1k_000123.jpg,0.116,15
k3GQq_-rD1k,88.8,000129,k3GQq_-rD1k_000129.jpg,0.222,15
k3GQq_-rD1k,93.8,000134,k3GQq_-rD1k_000134.jpg,0.165,15
k3GQq_-rD1k,99.2,000139,k3GQq_-rD1k_000139.jpg,0.217,15
k3GQq_-rD1k,104.6,000145,k3GQq_-rD1k_000145.jpg,0.233,16
k3GQq_-rD1k,110.4,000150,k3GQq_-rD1k_000150.jpg,0.191,15
k3GQq_-rD1k,114.6,000155,k3GQq_-rD1k_000155.jpg,0.357,17
k3GQq_-rD1k,120.4,000200,k3GQq_-rD1k_000200.jpg,0.228,15
k3GQq_-rD1k,126.8,000207,k3GQq_-rD1k_000207.jpg,0.153,15
k3GQq_-rD1k,132.0,000212,k3GQq_-rD1k_000212.jpg,0.189,16
k3GQq_-rD1k,137.6,000218,k3GQq_-rD1k_000218.jpg,0.055,15
k3GQq_-rD1k,142.8,000223,k3GQq_-rD1k_000223.jpg,0.049,15
k3GQq_-rD1k,148.6,000229,k3GQq_-rD1k_000229.jpg,0.126,15
k3GQq_-rD1k,153.6,000234,k3GQq_-rD1k_000234.jpg,0.178,15
k3GQq_-rD1k,159.2,000239,k3GQq_-rD1k_000239.jpg,0.233,16
k3GQq_-rD1k,163.2,000243,k3GQq_-rD1k_000243.jpg,0.141,15
k3GQq_-rD1k,168.8,000249,k3GQq_-rD1k_000249.jpg,0.352,16
k3GQq_-rD1k,173.6,000254,k3GQq_-rD1k_000254.jpg,0.185,15
k3GQq_-rD1k,179.0,000259,k3GQq_-rD1k_000259.jpg,0.166,15
k3GQq_-rD1k,184.2,000304,k3GQq_-rD1k_000304.jpg,0.25,16
