name,price,volume_ml,n_frames,t_start,t_end
글렌피릭15년700ml,99800,700,1,46.6,46.6
만 19세미만청소년에게는절대 판매하지요,99800,,1,51.6,51.6
글랜피티 14년 버번 캐스크 700m,99800,700,1,83.2,83.2
포로지스 싱글배털 750m,82800,750,1,99.2,99.2
이글레어10년750ml,69800,750,1,104.6,104.6
레이아린V.S.0.P700ml,79800,700,1,132.0,132.0
메이커스마크1L,49980,1000,1,159.2,159.2
더그127000,59400,,1,179.0,179.0
조니워커블랙루비700ml,54800,700,1,189.4,189.4
조니워커불랙라,49940,,1,199.6,199.6
커티삭프로히비션 1L,39980,1000,1,234.6,234.6
다카라 미야자키망고 700ml,24980,700,1,250.6,250.6
재임슨 스랜다드 700m,27980,700,1,275.8,275.8
탈리스만위스키1L,22980,1000,1,290.8,290.8
날모어 12년 700ml,99800,700,1,315.8,315.8
더 굴랜리넷 15년700m,94800,700,1,326.4,326.4
해산물,59400,,2,362.2,374.4
과일·체소,34980,,1,386.2,386.2
과일·채소,34980,,1,388.0,388.0
과일·체소,34980,,1,388.6,388.6
남두15700m,15700,,1,403.0,403.0
달오어2005빈터지700m,678000,700,1,433.8,433.8
라이드199031년700m,699800,700,1,443.4,443.4
