name,price,volume_ml,n_frames,t_start,t_end
1792스몰배치 750ml,44980,750,2,17.6,19.4
골든블루다이아몬드 450m,44980,,1,24.6,24.6
골든블루사피루스 450m,28980,,1,30.6,30.6
더글렌그란트12년700m,59800,700,1,36.6,36.6
더글렌그란트익스플로레이션넘버원700m,99800,700,3,41.6,44.6
더글렌그란트15년700m,97800,700,1,48.6,48.6
더글렌드로낙12년700m,79800,700,1,54.6,54.6
더 글렌리벳 12년 1L,69800,1000,1,60.6,60.6
더글렌리벳15년700m,94800,700,1,66.6,66.6
글렌피딕12년700m,84800,700,1,72.6,72.6
글렌피릭14년버번 캐스크 700m,99800,700,1,78.6,78.6
듀어스12년퍼스트 필버번캐스크700m,45980,700,2,82.6,85.2
듀어스15년파인오크스페셜리저브700m,59400,700,1,90.6,90.6
라가불린11년스윗피트700m,89800,700,1,96.6,96.6
러셀리저브싱글배럼750m,89800,750,1,101.6,101.6
러셀리저브싱글배럴750m,89800,750,1,102.6,102.6
로알브라클라12년700m,92800,700,1,108.6,108.6
맥캘란 12년 더블캐스크 700m,99800,700,1,114.6,114.6
몽키슬더700m,44980,700,1,120.6,120.6
발렌타인10년700mi,39980,,1,126.6,126.6
발베니 12년 700ml,96800,700,2,132.0,134.8
발베니14년캐리비안캐스크700m,139800,700,3,137.6,140.4
발렌타인싱글몰트글렌버기15년700m,94800,700,1,144.6,144.6
발렌타인파이니스트1L,28980,1000,1,150.6,150.6
뱅크홀싱글몰트위스키700m,37980,700,2,155.4,157.6
버팔로트레이스1L,49980,1000,1,162.6,162.6
산토리 가쿠빈700m,32980,700,1,168.6,168.6
아란쉐리캐스크700m,99800,700,1,174.6,174.6
에반월리엄스 12년750m,99800,750,5,178.6,182.6
에반 월리엄스블랙1.75L,47980,1750,2,192.6,194.6
에버펠디16년700ml,75800,700,1,198.6,198.6
오반14년700ml,89400,700,1,204.8,204.8
와일드터키8년 1L,49980,1000,1,210.6,210.6
와일드터키레어브리드75Oml,79800,,1,216.6,216.6
와일드터키덴터키스피릿싱글배럴750mI,69400,,1,222.6,222.6
이글레어10년750m,74800,750,1,228.6,228.6
제임슨 스탠다드700m,27980,700,1,246.6,246.6
조니워커 그린라벨700m,74800,700,1,252.8,252.8
조니워커 더블블랙 1L,59800,1000,1,259.6,259.6
조니워커레드1.75L,54800,1750,1,264.6,264.6
조니워커불랙라벨1L,49940,1000,1,270.6,270.6
조니워커블랙라벨700m,49980,700,1,282.2,282.2
조니워커블랙루비700m,54800,700,1,288.6,288.6
주라 18년 700mi,79400,,1,294.6,294.6
짐빔화이트750m,27980,750,1,300.6,300.6
카발란디스틸러리셀렉트싱글몰트700m,69800,700,4,304.6,307.6
커티삭 프로히비션 1L,39940,1000,2,317.0,319.4
클라이넬리쉬14년700m,79400,700,1,326.8,326.8
탈리스만 9년 포드루기즈 캐스크에디션 705,25980,700,1,330.6,330.6
탈리스커10년700m,69800,700,1,342.6,342.6
포로지스싱글배럼750m,82800,750,1,354.6,354.6
레미마틴V.S.O.P70OmI,79800,,1,360.6,360.6
바카디모히또클래식700m,18980,700,1,366.6,366.6
봄베이사파이어750ml+375m,39980,750,1,382.4,382.4
봄베이사파이어750m+375ml,39980,375,2,384.0,385.6
봄베이사파이어750ml+375ml,39980,750,2,386.0,386.6
봄베이사파이어진750m,30980,750,1,390.6,390.6
앱솔루트 보드카 1L,25980,1000,1,402.6,402.6
페로네 리몬첼로 1L,24980,1000,1,408.6,408.6
피치트리 1L,25980,1000,1,414.6,414.6
호세쿠엘보 에스페살레포사도750m,27980,750,2,418.6,421.2
듀어스 18년 750ml,99800,750,5,424.6,428.6
발렌타인21년700m,224800,700,1,432.6,432.6
비스킷앤드보세꼬냑X0700m,189800,700,1,438.6,438.6
아벨라워아브니흐세리캐스크에다션7CO,235800,,1,444.6,444.6
조니워커블루라벨 500ml,189800,500,1,450.6,450.6
조니워커불루라벨 750m,259800,750,1,454.6,454.6
조니워커불루라벨 75Om,259800,,1,457.2,457.2
포로지스스몰배치셀렉트 750m,116800,750,4,461.2,464.4
