name,price,volume_ml,n_frames,t_start,t_end
에반 월리엄스 12년750ml,99800,750,1,22.0,22.0
더글랜드로낙 오드 투더앵버스 700m,99400,700,1,45.2,45.2
달모어12년700ml,99800,700,1,52.0,52.0
주류 만에 안내,89800,,1,130.2,130.2
15년870,99800,,1,138.2,138.2
글텐피드12년700ml,69800,700,1,145.2,145.2
생플입니다,69800,,1,151.8,151.8
더클랜그란 12년700ml,59400,700,1,202.8,202.8
벤리약 10년700ml,49940,700,1,218.2,218.2
버밀로 트레이스IL,42980,,1,267.0,267.0
1792 스째지750m,44980,750,1,302.6,302.6
커티삭프로히비션1L,39980,1000,1,310.0,310.0
에반 월리엄스 B18 12주년 에디션 50도 1L,39980,1000,1,333.4,333.4
이반 밀리엄스 B8 12주년 에다션 50도 1L,39980,1000,1,336.8,336.8
스700,25980,,1,364.6,364.6
시도750m,25980,750,1,368.2,368.2
그게 이유이,19980,,1,380.0,380.0
해산물,59800,,3,416.6,431.4
