video_id,t_sec,frame,crop,method,w,h
rL4ZnobknPk,13.2,rL4ZnobknPk_000013_3.jpg,rL4ZnobknPk_000013_3.jpg,white_rect,622,145
rL4ZnobknPk,23.0,rL4ZnobknPk_000023_2.jpg,rL4ZnobknPk_000023_2.jpg,roi_fallback,512,198
rL4ZnobknPk,29.8,rL4ZnobknPk_000030_3.jpg,rL4ZnobknPk_000030_3.jpg,roi_fallback,512,198
rL4ZnobknPk,38.6,rL4ZnobknPk_000039_2.jpg,rL4ZnobknPk_000039_2.jpg,white_rect,116,82
rL4ZnobknPk,46.0,rL4ZnobknPk_000046_2.jpg,rL4ZnobknPk_000046_2.jpg,roi_fallback,512,198
rL4ZnobknPk,52.8,rL4ZnobknPk_000053_3.jpg,rL4ZnobknPk_000053_3.jpg,white_rect,622,239
rL4ZnobknPk,58.0,rL4ZnobknPk_000058_3.jpg,rL4ZnobknPk_000058_3.jpg,white_rect,356,99
rL4ZnobknPk,67.2,rL4ZnobknPk_000107_3.jpg,rL4ZnobknPk_000107_3.jpg,roi_fallback,512,198
rL4ZnobknPk,75.2,rL4ZnobknPk_000115_3.jpg,rL4ZnobknPk_000115_3.jpg,roi_fallback,512,198
rL4ZnobknPk,82.4,rL4ZnobknPk_000122_3.jpg,rL4ZnobknPk_000122_3.jpg,white_rect,622,290
rL4ZnobknPk,89.6,rL4ZnobknPk_000130_3.jpg,rL4ZnobknPk_000130_3.jpg,white_rect,622,152
rL4ZnobknPk,95.6,rL4ZnobknPk_000136_3.jpg,rL4ZnobknPk_000136_3.jpg,white_rect,360,126
rL4ZnobknPk,102.6,rL4ZnobknPk_000143_3.jpg,rL4ZnobknPk_000143_3.jpg,white_rect,565,199
rL4ZnobknPk,110.2,rL4ZnobknPk_000150_3.jpg,rL4ZnobknPk_000150_3.jpg,white_rect,604,296
rL4ZnobknPk,117.0,rL4ZnobknPk_000157_3.jpg,rL4ZnobknPk_000157_3.jpg,roi_fallback,512,198
rL4ZnobknPk,124.0,rL4ZnobknPk_000204_3.jpg,rL4ZnobknPk_000204_3.jpg,white_rect,198,100
rL4ZnobknPk,130.6,rL4ZnobknPk_000211_3.jpg,rL4ZnobknPk_000211_3.jpg,roi_fallback,512,198
rL4ZnobknPk,138.2,rL4ZnobknPk_000218_3.jpg,rL4ZnobknPk_000218_3.jpg,white_rect,368,208
rL4ZnobknPk,145.0,rL4ZnobknPk_000225_3.jpg,rL4ZnobknPk_000225_3.jpg,white_rect,419,202
rL4ZnobknPk,152.0,rL4ZnobknPk_000232_3.jpg,rL4ZnobknPk_000232_3.jpg,white_rect,271,122
rL4ZnobknPk,158.4,rL4ZnobknPk_000238_3.jpg,rL4ZnobknPk_000238_3.jpg,white_rect,622,196
rL4ZnobknPk,165.2,rL4ZnobknPk_000245_3.jpg,rL4ZnobknPk_000245_3.jpg,white_rect,622,224
rL4ZnobknPk,172.0,rL4ZnobknPk_000252_3.jpg,rL4ZnobknPk_000252_3.jpg,white_rect,415,144
rL4ZnobknPk,177.6,rL4ZnobknPk_000258_3.jpg,rL4ZnobknPk_000258_3.jpg,white_rect,622,166
rL4ZnobknPk,184.8,rL4ZnobknPk_000305_3.jpg,rL4ZnobknPk_000305_3.jpg,white_rect,473,302
rL4ZnobknPk,192.0,rL4ZnobknPk_000312_3.jpg,rL4ZnobknPk_000312_3.jpg,white_rect,241,59
rL4ZnobknPk,198.8,rL4ZnobknPk_000319_3.jpg,rL4ZnobknPk_000319_3.jpg,roi_fallback,512,198
rL4ZnobknPk,205.8,rL4ZnobknPk_000326_3.jpg,rL4ZnobknPk_000326_3.jpg,white_rect,160,89
rL4ZnobknPk,212.8,rL4ZnobknPk_000333_3.jpg,rL4ZnobknPk_000333_3.jpg,roi_fallback,512,198
rL4ZnobknPk,220.0,rL4ZnobknPk_000340_3.jpg,rL4ZnobknPk_000340_3.jpg,white_rect,622,199
rL4ZnobknPk,226.4,rL4ZnobknPk_000346_3.jpg,rL4ZnobknPk_000346_3.jpg,white_rect,580,160
rL4ZnobknPk,232.2,rL4ZnobknPk_000352_3.jpg,rL4ZnobknPk_000352_3.jpg,roi_fallback,512,198
rL4ZnobknPk,239.4,rL4ZnobknPk_000359_3.jpg,rL4ZnobknPk_000359_3.jpg,white_rect,464,302
rL4ZnobknPk,246.2,rL4ZnobknPk_000406_3.jpg,rL4ZnobknPk_000406_3.jpg,white_rect,554,245
rL4ZnobknPk,252.6,rL4ZnobknPk_000413_3.jpg,rL4ZnobknPk_000413_3.jpg,white_rect,453,257
rL4ZnobknPk,258.4,rL4ZnobknPk_000418_3.jpg,rL4ZnobknPk_000418_3.jpg,white_rect,622,223
rL4ZnobknPk,265.6,rL4ZnobknPk_000426_3.jpg,rL4ZnobknPk_000426_3.jpg,roi_fallback,512,198
rL4ZnobknPk,272.6,rL4ZnobknPk_000433_3.jpg,rL4ZnobknPk_000433_3.jpg,white_rect,556,302
