video_id,t_sec,hhmmss,path,mean_diff,n_frames
rL4ZnobknPk,13.2,000013,rL4ZnobknPk_000013_3.jpg,2.618,3
rL4ZnobknPk,23.0,000023,rL4ZnobknPk_000023_2.jpg,0.126,24
rL4ZnobknPk,29.8,000030,rL4ZnobknPk_000030_3.jpg,0.316,24
rL4ZnobknPk,38.6,000039,rL4ZnobknPk_000039_2.jpg,0.174,24
rL4ZnobknPk,46.0,000046,rL4ZnobknPk_000046_2.jpg,0.248,25
rL4ZnobknPk,52.8,000053,rL4ZnobknPk_000053_3.jpg,0.127,24
rL4ZnobknPk,58.0,000058,rL4ZnobknPk_000058_3.jpg,0.169,25
rL4ZnobknPk,67.2,000107,rL4ZnobknPk_000107_3.jpg,0.22,24
rL4ZnobknPk,75.2,000115,rL4ZnobknPk_000115_3.jpg,0.178,24
rL4ZnobknPk,82.4,000122,rL4ZnobknPk_000122_3.jpg,0.061,24
rL4ZnobknPk,89.6,000130,rL4ZnobknPk_000130_3.jpg,0.151,25
rL4ZnobknPk,95.6,000136,rL4ZnobknPk_000136_3.jpg,0.191,25
rL4ZnobknPk,102.6,000143,rL4ZnobknPk_000143_3.jpg,0.076,24
rL4ZnobknPk,110.2,000150,rL4ZnobknPk_000150_3.jpg,0.163,24
rL4ZnobknPk,117.0,000157,rL4ZnobknPk_000157_3.jpg,0.131,24
rL4ZnobknPk,124.0,000204,rL4ZnobknPk_000204_3.jpg,0.159,24
rL4ZnobknPk,130.6,000211,rL4ZnobknPk_000211_3.jpg,0.121,24
rL4ZnobknPk,138.2,000218,rL4ZnobknPk_000218_3.jpg,0.074,24
rL4ZnobknPk,145.0,000225,rL4ZnobknPk_000225_3.jpg,0.161,24
rL4ZnobknPk,152.0,000232,rL4ZnobknPk_000232_3.jpg,0.1,24
rL4ZnobknPk,158.4,000238,rL4ZnobknPk_000238_3.jpg,0.102,24
rL4ZnobknPk,165.2,000245,rL4ZnobknPk_000245_3.jpg,0.141,24
rL4ZnobknPk,172.0,000252,rL4ZnobknPk_000252_3.jpg,0.14,24
rL4ZnobknPk,177.6,000258,rL4ZnobknPk_000258_3.jpg,0.2,25
rL4ZnobknPk,184.8,000305,rL4ZnobknPk_000305_3.jpg,0.125,24
