name,price,volume_ml,n_frames,t_start,t_end
스카치 블루에스코트17년 파이어볼 콜렉터 에디션,23000,700,1,22.2,22.2
페이머스그라우스세 스카치 블루 에스코트 17년,29500,700,1,28.0,28.0
사제락라이 화이트앤액케이(1),25000,750,1,35.4,35.4
짐범화이트 우성식자,22800,750,1,46.0,46.0
그란츠트리플우드 초특가,15800,700,1,50.4,50.4
우성식자재합인명사 벤치마크NO.8,29900,700,1,64.8,64.8
커티프로히비션 우성식자재합,19900,700,1,69.6,69.6
탐나불린 저먼 피노누이 초특가,39900,700,1,79.8,79.8
각인행 탐나불린세리케스크,39900,700,1,84.8,84.8
발렌타인10년 발렌타인17년,32500,700,1,89.8,89.8
코퍼독 초특가,27900,700,1,100.6,100.6
조니워커레드 우성식,24900,700,1,115.8,115.8
버팔로트레이스 초특가,42900,,1,119.0,119.0
우성식자재합인사,28000,,1,133.0,133.0
1792스물배치,52800,,1,171.8,171.8
우성식자재할 스모크헤드세리블라스트,79800,700,1,186.4,186.4
시바스리갈13세리 시바스리갈18년,99900,700,1,192.0,192.0
우성식자재합인템사,75000,,1,208.4,208.4
버팔로트레이스,45000,700,1,213.0,213.0
조니워커블루라밀 초특가,199000,750,3,234.2,250.2
발렌타인 30년,560000,,1,260.6,260.6
조지레무스 버번 브룩라디 포트살롯 10년,129000,,1,276.4,276.4
올드플트니15년,97800,,1,281.4,281.4
제퍼슨버번 번하임오리지널7년,59800,750,1,302.0,302.0
베이커스7년 제퍼슨버번,69800,700,1,307.2,307.2
하이웨스트버번 초특가,63000,750,1,312.4,312.4
와일드터키라이 더블라이,39900,1000,1,317.6,317.6
와일드터키레어브리드라이 와일드터키레어브리드,88000,750,1,322.8,322.8
포로지스 버번 포로지스스홀록치,189000,,1,327.6,327.6
메이커스 마크 46 메이커스마크01,169000,750,1,338.0,338.0
컴스블랙 책다니엘허니,29900,700,1,342.8,342.8
에반월리엄스파이어 에반월리엄스허니,23500,750,1,348.0,348.0
글렌터너헤리티지 글련고인화이트,49800,700,1,352.0,352.0
012년 벤리악16년,119000,700,1,367.2,367.2
탈리스커 포트리 탈리스커10년,145000,700,1,372.2,372.2
올트모어 12년 오켓토션 쓰리우드,189000,,1,377.6,377.6
그렌드로닉 18년 올트모의 12년,148000,700,1,382.6,382.6
글렌드로낙12 글렌드로낙15년,148000,700,1,387.8,387.8
아드벽 우것다일 클일라 12년,72000,700,1,398.0,398.0
라가불린8년 라가불린 11년스위트피트,67500,700,1,408.8,408.8
로일브라클라18년 로일브라클라12년,46500,700,1,425.0,425.0
로즈아일 12년SR2024 오반 10년 SR 2024,155000,700,1,429.0,429.0
벤리네스 21년SR 2024 초특가,550000,,1,434.2,434.2
몰트락SR2023,375000,,1,439.4,439.4
로알살루트 21년 로알살루트21년,185000,700,1,444.0,444.0
글련피목 18년 글렌피릭15년,79000,700,1,448.8,448.8
초특),7001128,,1,454.0,454.0
먹컬란 클래식 컷 란더블캐스크 15년,99000,,1,459.2,459.2
먹컬란 클랜식 먹캘란더블캐스크 12년,199000,700,1,464.8,464.8
우성식자재합인행 글렌알라키 12년,125000,700,1,470.2,470.2
로크로몬드오리지날 아벨라워아부나흐세리,49000,700,1,487.0,487.0
듀어스 18년 벤로막10년,65000,,1,497.4,497.4
12년 듀어스 18년,135000,,1,502.8,502.8
듀어스 12년 부나하벤 토흐카흐,199000,700,1,508.2,508.2
로알브라클라21년 초특가,329000,700,1,513.2,513.2
글렌드로낙 21년 달모어(2006),459000,,1,525.2,525.2
달모어 18년 달모어18년(메탈),580000,,1,530.6,530.6
우성식 초특가,115000,,1,545.4,545.4
클렛프리미엄 에버펠디21년,19900,750,1,550.8,550.8
글렌글라사 12년 닛카 프론티어,194000,,1,556.0,556.0
기원(유니콘) 기원배치7,99000,,1,566.6,566.6
기원(호랑이) 기원(유니콘),89800,,1,572.2,572.2
올드파12Y 코퍼독,49800,700,1,593.6,593.6
달모어 포트우드 달모어15년,99000,700,1,610.8,610.8
달모어 시가올트 달모어 12년 쉽리,18357,700,1,616.4,616.4
하이랜드파크 12년 우성식,159000,,1,620.2,620.2
글렌킨치12년 토마틴 12년 쉐리캐스크,88000,700,1,625.4,625.4
레드브레스트 15년 오크로이스크,79800,,1,630.8,630.8
스트라스일12년 더디콘,189000,,1,635.8,635.8
카발란 솔리스트포트CS 초특가,268000,700,1,641.2,641.2
스페이번 카칼란 디스틸러리셀렉트,79900,700,1,646.2,646.2
싱글톤12년,65000,,1,656.2,656.2
부케X.0 헨리무니에VSOP,57800,,1,659.2,659.2
꾸니에르나폴레용 마르텔VSOP,85000,700,1,679.0,679.0
