video_id,t_sec,hhmmss,path,mean_diff,n_frames
ys-tP7cGnMM,3.8,000004,ys-tP7cGnMM_000004.jpg,0.785,2
ys-tP7cGnMM,5.6,000006,ys-tP7cGnMM_000006.jpg,1.268,8
ys-tP7cGnMM,7.2,000007,ys-tP7cGnMM_000007.jpg,0.486,9
ys-tP7cGnMM,278.4,000438,ys-tP7cGnMM_000438.jpg,2.992,2
ys-tP7cGnMM,278.8,000439,ys-tP7cGnMM_000439.jpg,2.798,3
ys-tP7cGnMM,279.4,000439,ys-tP7cGnMM_000439_1.jpg,2.956,3
ys-tP7cGnMM,281.0,000441,ys-tP7cGnMM_000441.jpg,2.557,2
ys-tP7cGnMM,281.6,000442,ys-tP7cGnMM_000442.jpg,2.994,2
ys-tP7cGnMM,282.0,000442,ys-tP7cGnMM_000442_1.jpg,2.539,2
ys-tP7cGnMM,283.0,000443,ys-tP7cGnMM_000443.jpg,2.971,2
ys-tP7cGnMM,300.2,000500,ys-tP7cGnMM_000500.jpg,0.043,50
