술이름_OCR,최종가_OCR(heuristic),frames
1792스몰배치750ml,39980,2
골든블루,28980,1
사피루스,28980,1
더글렌트로낙 오드 투 더벨리 700m,89400,2
발렌타인 10년 700ml,31980,2
뱅크홀 싱글몰트 위스키 700ml,39999,1
뱅크홀,299399,1
버팔로 트레이스 1L,18623,2
벤리악 10년 700ml,49940,2
와일드터키 켄터키 스피릿 싱글배럴750m!,69400,1
책다니엘 테네시 700m전용잔 패키지,38998,1
책다니엘 테네시 700mI전용잔 패키지,38998,1
제임슨 스탠다드,27980,2
조니워커 블랙 루비 700ml,54800,2
조니워커 블랙라벨 700ml,44980,2
커티삭 프로히비션 1L,39980,1
탈리스만 9년 포르투기즈 캐스크에디션 70,25980,2
탈리스만 위스키 1L,18606,1
탈리스커 와일드블루,82102,1
앱솔루트 보드카 1L,25980,1
피치트리1L,25980,1
글랜글라사포트소이 700m,10800,2
로알살루트 21년 그레인 700m,108949,2
발렌타인상글몰트글런버기16년스몰배치,108999,2
아받 워아브나흐세리캐스크어다션700,20829,1
아근워아브나흐세리캐스크어다션700,208280,1
조니워커블루라벨 750m,298999,2
탐두15년700ml,108991,1
탐두15년700mi,108999,1
포로지스스몰배치셀렉트 750m,11110,1
