제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
더 글렌그란트 30년 700ml,700,700,,700,1800.0,257.14,,,1170.0,167.14,신세계,90.0,35.0,,,,,,,,,,더 글렌그란트 30년 700ml,,더 글렌그란트 30년 700ml
보모어 33년 타임리스 700ml,700,,700,700,,,1489.6,212.8,1960.0,280.0,롯데,67.2,24.0,,,,,,,,,,,보모어 33년 타임리스 700ml,보모어 33년 타임리스 700ml
보모어 34년 프랭크 콰이어틀리 4 700ml,700,700,,700,2090.0,298.57,,,2470.0,352.86,신라,54.29,15.4,,,,,,,,,,보모어 34년 프랭크 콰이어틀리 4 700ml,,보모어 34년 프랭크 콰이어틀리 4 700ml
주라 1988 700ml,700,,700,700,,,1030.0,147.14,669.5,95.64,신세계,51.5,35.0,,,,,,,,,,,주라 1988 700ml,주라 1988 700ml
패터캐른 28년 700ml,700,700,,700,881.6,125.94,,,556.8,79.54,신세계,46.4,36.8,,,,,,,,,,패터캐른 28년 700ml,,패터캐른 28년 700ml
주라 1993 700ml,700,700,,700,893.0,127.57,,,611.0,87.29,신세계,40.29,31.6,,,,,,,,,,주라 1993 700ml,,주라 1993 700ml
부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml,700,,700,700,,,1395.0,199.29,1625.0,232.14,롯데,32.86,14.2,,,,,,,,,,,부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml,부쉬밀 싱글몰트 31년 마데이라 캐스크 700ml
보모어 30년 700ml,700,700,,700,1495.2,213.6,,,1713.25,244.75,신라,31.15,12.7,2790000,398571,데일리샷,2026-06-28,316162,20.7,면세,,,보모어 30년 700ml,,보모어 30년 700ml
듀어스 25년 750ml,750,750,750,750,154.76,20.63,303.45,40.46,213.7,28.49,신라,19.83,49.0,439000,58533,데일리샷,2026-06-28,30536,47.8,면세,신라,19.83,듀어스 25년 750ml,듀어스 25년 750ml,듀어스 25년 750ml
글렌고인 26년 리미티드 에디션 700ml,700,,700,700,,,749.75,107.11,880.0,125.71,롯데,18.61,14.8,,,,,,,,,,,글렌고인 26년 리미티드 에디션 700ml,글렌고인 26년 리미티드 에디션 700ml
발베니 25년 레어메리지 700ml,700,,700,700,,,750.49,107.21,636.23,90.89,신세계,16.32,15.2,1190000,170000,데일리샷,2026-06-28,134532,20.9,면세,,,,발베니 25년 레어메리지 700ml,발베니 25년 레어메리지 700ml
듀어스 더블더블 36년 500ml,500,500,500,500,846.0,169.2,765.0,153.0,810.0,162.0,롯데,16.2,9.6,1940000,388000,데일리샷,2026-06-28,226464,41.6,면세,롯데,16.2,듀어스 더블더블 36년 500ml,듀어스 더블더블 36년 500ml,듀어스 더블더블 36년 500ml
올트모어 25년 700ml,700,700,700,700,354.68,50.67,300.64,42.95,404.46,57.78,롯데,14.83,25.7,649000,92714,데일리샷,2026-06-28,63573,31.4,면세,롯데,7.72,올트모어 25년 700ml,올트모어 25년 700ml,올트모어 25년 700ml
글렌파클라스 35년 700ml,700,700,700,700,901.82,128.83,818.36,116.91,895.09,127.87,롯데,11.92,9.3,,,,,,,,롯데,11.92,글렌파클라스 35년 700ml,글렌파클라스 35년 700ml,글렌파클라스 35년 700ml
보모어 25년 700ml,700,700,,700,476.0,68.0,,,394.24,56.32,신세계,11.68,17.2,649000,92714,데일리샷,2026-06-28,83363,10.1,면세,,,보모어 25년 700ml,,보모어 25년 700ml
