구분,위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,국내최저_KRW,국내용량_ml,국내_₩100ml,국내출처,국내매칭명,절감_100ml_%,절감_병당_KRW,구매가능,상품URL
①병당도쌈,발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,251565,700,35938,620000,700,88571,데일리샷,발베니 19년 위크 오브 피트,59.4,368435,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
①병당도쌈,맥캘란 하모니 컬렉션 700ml,맥캘란,175.75,264825,700,37832,459000,700,65571,데일리샷,맥캘란 하모니 컬렉션 리치 카카오,42.3,194175,N,https://www.shilladfs.com/estore/kr/ko/p/5532321
①병당도쌈,글렌드로낙 16년 700ml,글렌드로낙,128.25,193251,700,27607,372000,700,53143,데일리샷,더 글렌드로낙 16년,48.1,178749,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
①병당도쌈,발렌타인 23년 GLENTAUCHERS 700ml,발렌타인,183.4,276352,700,39479,409000,700,58429,데일리샷,발렌타인 23년,32.4,132648,Y,https://www.shilladfs.com/estore/kr/ko/p/5068900
①병당도쌈,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,85.28,128502,700,18357,249000,700,35571,데일리샷,발베니 15년 마데이라 캐스크,48.4,120498,Y,https://www.shilladfs.com/estore/kr/ko/p/5108416
①병당도쌈,아벨라워 아부나흐 700ml,발렌타인,80.5,121300,700,17329,235800,700,33686,보유DB,아벨라워 아부나흐,48.6,114500,Y,https://www.shilladfs.com/estore/kr/ko/p/5887242
①병당도쌈,글렌파클라스 25년 700ml,글렌파클라스,223.02,336053,700,48008,450000,700,64286,데일리샷,글렌파클라스 25년,25.3,113947,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
①병당도쌈,로얄살루트 21년 Peated Blend 700ml,로얄살루트,190.0,286297,700,40900,399000,700,57000,데일리샷,로얄살루트 21년 피티드 블렌드,28.2,112703,Y,https://www.shilladfs.com/estore/kr/ko/p/5081231
①병당도쌈,주라 21년 타임 700ml,주라,163.5,246366,700,35195,354000,700,50571,데일리샷,주라 21년 Tide & Time,30.4,107634,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
①병당도쌈,글렌피딕 21년 700ml,글렌피딕,142.56,214813,700,30688,319000,700,45571,데일리샷,글렌피딕 21년 40%,32.7,104187,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
