순위,위스키명,브랜드,구매가능,재고,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,스타일분류,스타일근거,소분류,상품코드,SKU,상품URL
1,글렌파클라스 35년 700ml,글렌파클라스,Y,6,901.82,1346.0,33.0,55,0,100.0,36.0,47.1,66.5,"할인33%, 절감$444, 35년",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226627,265931000006,https://www.shilladfs.com/estore/kr/ko/p/5226627
2,발베니 Balvenie 18년 Sherry Cask 700ml,발베니,Y,6,144.04,277.0,48.0,5149,35,79.0,21.6,100.0,59.2,"할인48%, 절감$133, 18년, 판매多",A,키워드:sherry,1220:싱글몰트 위스키,5108210,112231000026,https://www.shilladfs.com/estore/kr/ko/p/5108210
3,글렌파클라스 25년 700ml,글렌파클라스,Y,6,223.02,378.0,41.0,429,0,80.5,30.0,70.9,58.8,"할인41%, 절감$155, 25년, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226626,265931000005,https://www.shilladfs.com/estore/kr/ko/p/5226626
4,폴 존 피엑스 쉐리 700ml,폴 존,Y,2,45.15,105.0,57.0,162,0,74.0,26.7,59.6,52.9,"할인57%, 절감$60, 재고2병, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5312121,249031000025,https://www.shilladfs.com/estore/kr/ko/p/5312121
5,글렌파클라스 15년 700ml,글렌파클라스,Y,6,70.2,135.0,48.0,525,0,74.4,18.0,73.2,51.7,"할인48%, 절감$65, 15년, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226623,265931000004,https://www.shilladfs.com/estore/kr/ko/p/5226623
6,ABERLOUR 18년 700ml,발렌타인,Y,6,150.5,215.0,30.0,88,0,74.4,21.6,52.5,50.0,"할인30%, 절감$64, 18년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5837406,046131000062,https://www.shilladfs.com/estore/kr/ko/p/5837406
7,TAMDHU 14yo Ambar Vintage 2009 700ml,탐두,Y,6,86.18,139.0,38.0,49,0,73.6,24.0,45.7,49.6,"할인38%, 절감$53, 한정/특별",A,셰리밤증류소:tamdhu,1220:싱글몰트 위스키,5865403,294531000006,https://www.shilladfs.com/estore/kr/ko/p/5865403
8,ABERLOUR 16년 700ml,발렌타인,Y,6,78.0,130.0,40.0,49,0,73.5,19.2,45.7,47.6,"할인40%, 절감$52, 16년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5837405,046131000061,https://www.shilladfs.com/estore/kr/ko/p/5837405
9,부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀,Y,6,33.6,70.0,52.0,149,0,72.5,12.0,58.6,46.2,"할인52%, 절감$36, 10년, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5200752,130531000019,https://www.shilladfs.com/estore/kr/ko/p/5200752
10,ABERLOUR 13년 700ml,발렌타인,Y,6,42.0,75.0,44.0,52,0,72.2,15.6,46.4,45.7,"할인44%, 절감$33, 13년",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5663013,046131000060,https://www.shilladfs.com/estore/kr/ko/p/5663013
11,더 패밀리 캐스크스 2007_S23 700ml,글렌파클라스,Y,6,237.6,396.0,40.0,102,0,80.7,0.0,54.2,44.4,"할인40%, 절감$158, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5548860,265931000010,https://www.shilladfs.com/estore/kr/ko/p/5548860
12,더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스,Y,6,238.8,398.0,40.0,94,0,80.8,0.0,53.2,44.3,"할인40%, 절감$159",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5548854,265931000011,https://www.shilladfs.com/estore/kr/ko/p/5548854
13,TAMDHU Gran Reserva 700ml,탐두,Y,6,180.23,269.0,33.0,236,1,76.0,0.0,64.0,43.8,"할인33%, 절감$89, 판매多",A,셰리밤증류소:tamdhu,1220:싱글몰트 위스키,5865408,294531000007,https://www.shilladfs.com/estore/kr/ko/p/5865408
14,브룩라디 Sherry Cask_700ml,브룩라디,Y,6,34.5,69.0,50.0,183,0,72.3,0.0,61.0,41.7,"할인50%, 절감$34, 판매多",A,키워드:sherry,1220:싱글몰트 위스키,5386814,085131000084,https://www.shilladfs.com/estore/kr/ko/p/5386814
15,아벨라워 아부나흐 700ml,발렌타인,Y,6,80.5,115.0,30.0,158,0,72.3,0.0,59.3,41.4,"할인30%, 절감$34, 판매多",A,셰리밤증류소:아벨라워; 키워드:아부나흐,1220:싱글몰트 위스키,5887242,046131000068,https://www.shilladfs.com/estore/kr/ko/p/5887242
16,글렌알라키 8년 700ml,글렌알라키,Y,6,67.34,91.0,26.0,132,0,62.3,9.6,57.2,40.4,"할인26%, 절감$24, 8년, 판매多",A,셰리밤증류소:글렌알라키,1220:싱글몰트 위스키,5249072,265631000001,https://www.shilladfs.com/estore/kr/ko/p/5249072
17,부쉬밀 블랙부쉬 80/20 PX 1000ml,부쉬밀,Y,6,24.0,50.0,52.0,63,0,71.8,0.0,48.6,39.6,"할인52%, 절감$26",A,키워드:px,1211:블렌디드 위스키,5200758,130531000018,https://www.shilladfs.com/estore/kr/ko/p/5200758
18,TAMDHU Cuatro Reserva 700ml,탐두,Y,6,60.14,97.0,38.0,32,0,72.5,0.0,40.9,38.8,"할인38%, 절감$37",A,셰리밤증류소:tamdhu,1220:싱글몰트 위스키,5865402,294531000005,https://www.shilladfs.com/estore/kr/ko/p/5865402
19,ABERLOUR SUTHAINN 700ml,발렌타인,Y,6,63.0,90.0,30.0,30,0,71.8,0.0,40.1,38.3,"할인30%, 절감$27",A,셰리밤증류소:aberlour,1220:싱글몰트 위스키,5663570,046131000059,https://www.shilladfs.com/estore/kr/ko/p/5663570
20,글렌알라키 15년 (24RB) 700ml,글렌알라키,Y,6,143.65,169.0,15.0,2071,5,36.7,18.0,89.3,37.1,"할인15%, 절감$25, 15년, 판매多",A,셰리밤증류소:글렌알라키,1220:싱글몰트 위스키,5463432,265631000010,https://www.shilladfs.com/estore/kr/ko/p/5463432
21,씨앤씨 쉐리 캐스크 750ml,씨앤씨,Y,6,78.4,112.0,30.0,7,0,72.3,0.0,24.3,36.2,"할인30%, 절감$34",A,키워드:쉐리,1220:싱글몰트 위스키,5359023,276831000005,https://www.shilladfs.com/estore/kr/ko/p/5359023
22,Jerez Sherry Cask 1000ml,스페이번,Y,6,37.44,72.0,48.0,5,0,72.3,0.0,20.9,35.7,"할인48%, 절감$35",A,키워드:sherry,1220:싱글몰트 위스키,5866023,266531000007,https://www.shilladfs.com/estore/kr/ko/p/5866023
23,글렌알라키 9년 도우로밸리 700ml,글렌알라키,Y,2,97.2,108.0,10.0,253,1,24.1,37.5,64.8,35.5,"할인10%, 절감$11, 9년, 재고2병, 판매多",A,셰리밤증류소:글렌알라키,1220:싱글몰트 위스키,5330414,265631000004,https://www.shilladfs.com/estore/kr/ko/p/5330414
24,카발란 올로로소 쉐리 오크 1000ml,카발란,Y,6,137.6,172.0,20.0,2026,3,49.0,0.0,89.0,35.4,"할인20%, 절감$34, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5101584,249031000011,https://www.shilladfs.com/estore/kr/ko/p/5101584
25,시바스리갈 엑스트라 셰리 캐스크 셀렉션 1000ml,시바스리갈,Y,6,32.48,58.0,44.0,5,0,71.7,0.0,20.9,35.4,"할인44%, 절감$26",A,키워드:셰리,1211:블렌디드 위스키,5828032,110331000036,https://www.shilladfs.com/estore/kr/ko/p/5828032
26,글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,Y,6,318.25,335.0,5.0,395,2,12.8,44.4,70.0,34.0,"할인5%, 절감$17, 17년, 한정/특별, 판매多",A,셰리밤증류소:글렌알라키; 키워드:쉐리,1220:싱글몰트 위스키,5818667,265631000019,https://www.shilladfs.com/estore/kr/ko/p/5818667
27,글렌알라키 12년 (24RB) 700ml,글렌알라키,Y,6,90.95,107.0,15.0,466,0,36.1,14.4,71.9,32.8,"할인15%, 절감$16, 12년, 판매多",A,셰리밤증류소:글렌알라키,1220:싱글몰트 위스키,5463343,265631000009,https://www.shilladfs.com/estore/kr/ko/p/5463343
28,쿠라요시 12년 셰리 700ml,마츠이,Y,6,108.0,135.0,20.0,12,0,48.5,14.4,30.0,32.1,"할인20%, 절감$27, 12년",A,키워드:셰리,1211:블렌디드 위스키,5157349,254631000016,https://www.shilladfs.com/estore/kr/ko/p/5157349
29,쿠라요시 셰리 700ml,마츠이,Y,6,84.0,105.0,20.0,22,0,48.1,0.0,36.7,27.1,"할인20%, 절감$21",A,키워드:셰리,1211:블렌디드 위스키,5157336,254631000015,https://www.shilladfs.com/estore/kr/ko/p/5157336
30,글렌드로낙 16년 700ml,글렌드로낙,Y,6,128.25,135.0,5.0,2307,9,12.1,19.2,90.6,26.7,"할인5%, 절감$7, 16년, 판매多",A,셰리밤증류소:글렌드로낙,1220:싱글몰트 위스키,4391067,114931000034,https://www.shilladfs.com/estore/kr/ko/p/4391067
31,NEW 올트모어 25년 (1st Fill 올로로소 쉐리) 500ml,올트모어,Y,6,420.85,443.0,5.0,137,2,13.2,30.0,57.8,26.6,"할인5%, 절감$22, 25년, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5560833,113531000085,https://www.shilladfs.com/estore/kr/ko/p/5560833
32,글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,Y,6,437.0,460.0,5.0,360,1,13.2,24.0,68.9,25.9,"할인5%, 절감$23, 한정/특별, 판매多",A,셰리밤증류소:글렌알라키; 키워드:쉐리,1220:싱글몰트 위스키,5818666,265631000020,https://www.shilladfs.com/estore/kr/ko/p/5818666
33,글렌드로낙 10년 1000ml,글렌드로낙,Y,6,76.0,80.0,5.0,549,1,11.9,12.0,73.8,21.2,"할인5%, 절감$4, 10년, 판매多",A,셰리밤증류소:글렌드로낙,1220:싱글몰트 위스키,5088303,114931000033,https://www.shilladfs.com/estore/kr/ko/p/5088303
34,NEW 올트모어 12년 (올로로소 쉐리) 500ml,올트모어,Y,6,49.4,52.0,5.0,165,1,11.8,14.4,59.8,20.1,"할인5%, 절감$3, 12년, 판매多",A,키워드:쉐리,1220:싱글몰트 위스키,5560832,113531000084,https://www.shilladfs.com/estore/kr/ko/p/5560832
35,라프로익 PX Cask 1000ml,라프로익,Y,6,114.0,120.0,5.0,1239,2,12.1,0.0,83.3,17.9,"할인5%, 절감$6, 판매多",A,키워드:px,1220:싱글몰트 위스키,3333183,114131000003,https://www.shilladfs.com/estore/kr/ko/p/3333183
36,맥탈라 올드퍼스 쉐리 케스크 12년 700ml,맥탈라,Y,6,75.05,79.0,5.0,39,0,11.9,14.4,43.1,17.6,"할인5%, 절감$4, 12년",A,키워드:쉐리,1220:싱글몰트 위스키,5311850,249031000021,https://www.shilladfs.com/estore/kr/ko/p/5311850
37,글렌파클라스 105 1000ml,글렌파클라스,Y,6,119.7,126.0,5.0,639,0,12.1,0.0,75.5,16.8,"할인5%, 절감$6, 판매多",A,셰리밤증류소:글렌파클라스,1220:싱글몰트 위스키,5226622,265931000001,https://www.shilladfs.com/estore/kr/ko/p/5226622
