예산대,순위,위스키명,브랜드,면세가_KRW,할인율_%,종합점수,평점,리뷰수,국내구매처,국내최저_KRW,국내현재_KRW,면세vs국내_%,상품URL
10만원 이하,1,더 글렌그란트 15년 1000ml,더 글렌그란트,92160,52.0,86.4,10.0,1,데일리샷·롯데마트·트레이더스,88661,88661,+27,https://www.shilladfs.com/estore/kr/ko/p/5173493
10만원 이하,2,발베니 12년 Golden Cask 700ml ,발베니,67200,44.0,84.8,10.0,10,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5516907
10만원 이하,3,라프로익 레거시 에디션 700ml,라프로익,98550,55.0,84.6,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/3612827
10만원 이하,4,조니워커 18년 750ml,조니워커,84000,50.0,83.7,9.7,7,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/3651371
10만원 이하,5,글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,77220,48.0,82.4,9.3,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105342
10만원 이하,6,발베니 Stories Creation Classic 700ml,발베니,90900,40.0,79.1,10.0,3,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108415
10만원 이하,7,산토리 Chita 700ml,산토리,48180,56.0,77.0,9.3,3,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/3740701
10만원 이하,8,글렌피딕 Vat 1 Perpetual Collection 1000ml,글렌피딕,54990,53.0,75.9,9.0,4,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105343
10–20만원,1,발베니 Balvenie 15년 Madeira Cask 700ml,발베니,127920,48.0,95.3,9.9,15,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108416
10–20만원,2,글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,119625,45.0,89.4,9.2,12,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105341
10–20만원,3,카이요 Japanese Mizunara Cask Strength 700ml,카이요 위스키,110025,55.0,81.8,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5437281
10–20만원,4,발렌타인 18년 GLENBURGIE 700ml,발렌타인,104145,47.0,77.8,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5524471
10–20만원,5,카발란 이엑스버번 솔리스트 1000ml,카발란,184800,20.0,75.0,10.0,13,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101822
10–20만원,6,부쉬밀 18년 트리플 캐스크 700ml,부쉬밀,113400,46.0,71.5,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5818225
10–20만원,7,BLADNOCH 16YO 700ml,블라드녹,185925,33.0,68.8,10.0,2,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5834298
10–20만원,8,보모어 16년 700ml,보모어,115500,30.0,67.8,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5524532
20–30만원,1,발베니 Balvenie 18년 Sherry Cask 700ml,발베니,216060,48.0,92.7,9.7,35,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108210
20–30만원,2,글렌피딕 23년 Grand Cru 700ml,글렌피딕,291225,45.0,88.7,9.8,9,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/4554223
20–30만원,3,글렌피딕 22년 그랑 코르테스 700ml,글렌피딕,269700,42.0,87.4,9.8,17,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5479260
20–30만원,4,발베니 Balvenie 19년 Week of Peat 700ml,발베니,250425,47.0,86.8,10.0,8,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5108417
