순위,위스키명,브랜드,구매가능,재고,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,스타일분류,스타일근거,소분류,상품코드,SKU,상품URL
1,젠틀맨스 컷 버번 750ml,젠틀맨스 컷,Y,6,82.35,183.0,55.0,77,0,100.0,0.0,58.8,53.8,"할인55%, 절감$101",A,키워드:버번,1211:블렌디드 위스키,5345783,268331000018,https://www.shilladfs.com/estore/kr/ko/p/5345783
2,에반 윌리엄스 싱글 배럴 750ml,신세계 L&B,Y,6,29.28,61.0,52.0,57,0,79.5,24.0,54.8,53.6,"할인52%, 절감$32, 한정/특별",A,브랜드:에반 윌리엄스,1211:블렌디드 위스키,5290609,115331000190,https://www.shilladfs.com/estore/kr/ko/p/5290609
3,짐빔 싱글 배럴  750ml,짐빔,Y,6,20.21,47.0,57.0,72,0,78.0,24.0,57.9,53.4,"할인57%, 절감$27, 한정/특별",A,브랜드:짐빔,1211:블렌디드 위스키,5303267,109831000018,https://www.shilladfs.com/estore/kr/ko/p/5303267
4,타운브랜치 트루 케스크 버번 750ml,타운브랜치,Y,2,46.9,67.0,30.0,40,0,76.0,26.7,50.1,52.4,"할인30%, 절감$20, 재고2병",A,키워드:버번,1211:블렌디드 위스키,5219706,262731000003,https://www.shilladfs.com/estore/kr/ko/p/5219706
5,버팔로 트레이스 이글레어 10년 버번 위스키 750ml,버팔로 트레이스,Y,6,33.06,58.0,43.0,411,0,77.4,12.0,81.3,51.8,"할인43%, 절감$25, 10년, 판매多",A,브랜드:버팔로 트레이스; 키워드:버번,1211:블렌디드 위스키,5474380,258231000009,https://www.shilladfs.com/estore/kr/ko/p/5474380
6,잭다니엘 골드 700ml,잭다니엘,Y,6,48.51,99.0,51.0,93,0,85.0,0.0,61.3,47.5,"할인51%, 절감$50",A,브랜드:잭다니엘,1211:Blended Whisky,3331541,114931000007,https://www.shilladfs.com/estore/kr/ko/p/3331541
7,와일드터키 101 1000ml,와일드터키,Y,6,24.96,48.0,48.0,408,3,76.9,0.0,81.3,46.8,"할인48%, 절감$23, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5173368,257231000002,https://www.shilladfs.com/estore/kr/ko/p/5173368
8,러셀 리저브 라이 6년 750ml,와일드터키,Y,6,29.0,58.0,50.0,67,0,78.6,7.2,57.0,46.8,"할인50%, 절감$29, 6년",A,브랜드:와일드터키,1211:블렌디드 위스키,5789382,257231000010,https://www.shilladfs.com/estore/kr/ko/p/5789382
9,와일드터키 켄터키 스피릿 1L,와일드터키,Y,6,39.22,74.0,47.0,161,0,80.4,0.0,68.7,46.5,"할인47%, 절감$35, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5408280,257231000005,https://www.shilladfs.com/estore/kr/ko/p/5408280
10,웰러 스페셜 리저브 750ml,버팔로 트레이스,Y,6,54.72,96.0,43.0,88,0,82.3,0.0,60.6,46.1,"할인43%, 절감$41",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5676433,258231000022,https://www.shilladfs.com/estore/kr/ko/p/5676433
