위스키명,브랜드,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL,피트분류,피트근거
고든앤맥패일 코노세어초이스 쿨일라 2006 17년 700ml,고든 앤 맥패일,216.0,270.0,20.0,51,0,0.0,0,N,1220:싱글몰트 위스키,5677236,115431000186,https://www.shilladfs.com/estore/kr/ko/p/5677236,A,증류소:쿨일라
고든앤맥패일 코노세어초이스 쿨일라 사시까이아 2010 12년 700ml,고든 앤 맥패일,194.75,205.0,5.0,111,0,0.0,0,N,1220:싱글몰트 위스키,5677233,115431000184,https://www.shilladfs.com/estore/kr/ko/p/5677233,A,증류소:쿨일라
시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,59.8,130.0,54.0,133,0,0.0,6,Y,1220:싱글몰트 위스키,5065829,110431000020,https://www.shilladfs.com/estore/kr/ko/p/5065829,A,키워드:peated
시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,145.0,290.0,50.0,59,1,2.0,6,Y,1220:싱글몰트 위스키,5065826,110431000021,https://www.shilladfs.com/estore/kr/ko/p/5065826,A,키워드:peated
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,33.54,78.0,57.0,17,0,0.0,6,Y,1220:싱글몰트 위스키,5232740,263431000001,https://www.shilladfs.com/estore/kr/ko/p/5232740,A,산지:아일라
더글라스랭 BIG PEAT 12년 700ml,더글라스랭,70.3,74.0,5.0,46,0,0.0,6,Y,1220:싱글몰트 위스키,5228863,265431000001,https://www.shilladfs.com/estore/kr/ko/p/5228863,A,키워드:peat
라가불린 10년 700ml,라가불린,86.45,91.0,5.0,38,0,0.0,0,N,1220:싱글몰트 위스키,5704238,111131000033,https://www.shilladfs.com/estore/kr/ko/p/5704238,A,증류소:라가불린
라가불린 16년 700ml,라가불린,115.9,122.0,5.0,2022,3,10.0,0,N,1220:싱글몰트 위스키,5358630,111131000020,https://www.shilladfs.com/estore/kr/ko/p/5358630,A,증류소:라가불린
라프로익 12년 700ml,라프로익,42.0,70.0,40.0,39,0,0.0,6,Y,1220:싱글몰트 위스키,5917035,114131000053,https://www.shilladfs.com/estore/kr/ko/p/5917035,A,증류소:라프로익
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,626.4,1080.0,42.0,172,0,0.0,0,N,1220:싱글몰트 위스키,5513344,114131000040,https://www.shilladfs.com/estore/kr/ko/p/5513344,A,증류소:라프로익
라프로익 PX Cask 1000ml,라프로익,114.0,120.0,5.0,1246,2,10.0,6,Y,1220:싱글몰트 위스키,3333183,114131000003,https://www.shilladfs.com/estore/kr/ko/p/3333183,A,증류소:라프로익
라프로익 레거시 에디션 700ml,라프로익,62.78,146.0,57.0,310,1,10.0,6,Y,1220:싱글몰트 위스키,3612827,114131000014,https://www.shilladfs.com/estore/kr/ko/p/3612827,A,증류소:라프로익
라프로익 포트우드 2023 700ml,라프로익,167.2,176.0,5.0,325,1,10.0,6,Y,1220:싱글몰트 위스키,5298064,114131000036,https://www.shilladfs.com/estore/kr/ko/p/5298064,A,증류소:라프로익
로얄살루트 21년 Peated Blend 700ml,로얄살루트,190.0,200.0,5.0,487,3,10.0,6,Y,1211:블렌디드 위스키,5081231,110231000021,https://www.shilladfs.com/estore/kr/ko/p/5081231,A,키워드:peated
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,2340.8,3344.0,30.0,34,0,0.0,2,Y,1211:블렌디드 위스키,5739770,110231000038,https://www.shilladfs.com/estore/kr/ko/p/5739770,A,키워드:피티
마츠이 피트 700ml,마츠이,52.25,95.0,45.0,20,0,0.0,6,Y,1220:싱글몰트 위스키,5157351,254631000020,https://www.shilladfs.com/estore/kr/ko/p/5157351,A,키워드:피트
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,37.8,105.0,64.0,20,0,0.0,6,Y,1220:싱글몰트 위스키,5248992,266731000003,https://www.shilladfs.com/estore/kr/ko/p/5248992,A,키워드:피티
