위스키명,브랜드,구매가능,가용사유,재고,라이브할인가,정상가,라이브할인율,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,피트분류,소분류,상품코드,SKU,상품URL
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,Y,,1,2090.0,3800.0,45.0,3,0,98.5,93.3,19.4,84.6,"할인45%, 절감$1710, 34년, 한정/특별, 재고1병",A,1220:싱글몰트 위스키,5489103,114231000049,https://www.shilladfs.com/estore/kr/ko/p/5489103
보모어 타임리스 33년 700ml,보모어,Y,,3,1484.0,2800.0,47.0,93,0,91.9,80.0,63.7,82.9,"할인47%, 절감$1316, 33년, 한정/특별, 재고3병",A,1220:싱글몰트 위스키,5265734,114231000041,https://www.shilladfs.com/estore/kr/ko/p/5265734
보모어 30년 700ml,보모어,Y,,2,1495.2,3115.0,52.0,48,0,97.0,62.7,54.6,76.9,"할인52%, 절감$1620, 30년, 재고2병",A,1220:싱글몰트 위스키,5298204,114231000046,https://www.shilladfs.com/estore/kr/ko/p/5298204
보모어 36년 FQ 2023 700ml,보모어,Y,,6,2200.0,4000.0,45.0,36,0,100.0,60.0,50.6,76.6,"할인45%, 절감$1800, 36년, 한정/특별",A,1220:싱글몰트 위스키,5221776,114231000038,https://www.shilladfs.com/estore/kr/ko/p/5221776
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,Y,,2,2340.8,3344.0,30.0,34,0,86.7,62.7,49.9,71.6,"할인30%, 절감$1003, 62년, 재고2병",A,1211:블렌디드 위스키,5739770,110231000038,https://www.shilladfs.com/estore/kr/ko/p/5739770
보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,Y,,6,295.8,510.0,42.0,671,6,73.6,52.8,91.4,67.9,"할인42%, 절감$214, 24년, 한정/특별, 판매多",A,1220:싱글몰트 위스키,5489102,114231000048,https://www.shilladfs.com/estore/kr/ko/p/5489102
발베니 Balvenie 19년 Week of Peat 700ml,발베니,Y,,6,166.95,315.0,47.0,1173,8,72.5,22.8,99.2,56.6,"할인47%, 절감$148, 19년, 판매多",A,1220:싱글몰트 위스키,5108417,112231000027,https://www.shilladfs.com/estore/kr/ko/p/5108417
보모어 22년 700ml,보모어,Y,,6,279.3,399.0,30.0,218,0,72.0,26.4,75.6,54.3,"할인30%, 절감$120, 22년, 판매多",A,1220:싱글몰트 위스키,5524534,114231000055,https://www.shilladfs.com/estore/kr/ko/p/5524534
보모어 19년 700ml,보모어,Y,,6,142.8,204.0,30.0,221,0,71.0,22.8,75.8,52.4,"할인30%, 절감$61, 19년, 판매多",A,1220:싱글몰트 위스키,5524533,114231000054,https://www.shilladfs.com/estore/kr/ko/p/5524533
보모어 16년 700ml,보모어,Y,,6,77.0,110.0,30.0,378,1,70.5,19.2,83.3,51.9,"할인30%, 절감$33, 16년, 판매多",A,1220:싱글몰트 위스키,5524532,114231000053,https://www.shilladfs.com/estore/kr/ko/p/5524532
