위스키명,브랜드,구매가능,신라면세_USD,신라면세_KRW_1500,심리구간,코스트코최저_KRW,코스트코매칭상품,신라-코스트코_차이,종합매력도,피트분류,상품URL
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,Y,31.86,47790,①10만이하,,,,37.7,A,https://www.shilladfs.com/estore/kr/ko/p/5372476
컴파스 박스 Peat Monster 700ml,컴파스 박스,Y,32.34,48510,①10만이하,,,,39.5,A,https://www.shilladfs.com/estore/kr/ko/p/5229030
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,Y,33.54,50310,①10만이하,,,,37.9,A,https://www.shilladfs.com/estore/kr/ko/p/5232740
벤리악 Quarter Cask Peated 1000ml,벤리악,Y,34.3,51450,①10만이하,,,,40.6,A,https://www.shilladfs.com/estore/kr/ko/p/5303575
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,Y,37.8,56700,①10만이하,,,,38.4,A,https://www.shilladfs.com/estore/kr/ko/p/5248992
보모어 11년 700ml,보모어,Y,38.5,57750,①10만이하,,,,42.5,A,https://www.shilladfs.com/estore/kr/ko/p/5833044
라프로익 12년 700ml,라프로익,Y,42.0,63000,①10만이하,,,,45.2,A,https://www.shilladfs.com/estore/kr/ko/p/5917035
폴 존 피티드 1000ml,폴 존,Y,42.0,63000,①10만이하,,,,40.7,A,https://www.shilladfs.com/estore/kr/ko/p/5311922
히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,Y,45.15,67725,①10만이하,,,,40.4,A,https://www.shilladfs.com/estore/kr/ko/p/5392882
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,Y,46.87,70305,①10만이하,,,,38.2,A,https://www.shilladfs.com/estore/kr/ko/p/5372478
보모어 14년 700ml,보모어,Y,47.6,71400,①10만이하,,,,48.8,A,https://www.shilladfs.com/estore/kr/ko/p/5524536
탈리스커 써지 700ml,탈리스커,Y,51.66,77490,①10만이하,,,,42.9,B,https://www.shilladfs.com/estore/kr/ko/p/5185537
마츠이 피트 700ml,마츠이,Y,52.25,78375,①10만이하,,,,38.2,A,https://www.shilladfs.com/estore/kr/ko/p/5157351
암룻 PEATED CASK STRENGTH 700ml,암룻,Y,52.44,78660,①10만이하,,,,51.0,A,https://www.shilladfs.com/estore/kr/ko/p/5337845
