술이름,기준가_HKD,정가_HKD,환율_HKDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
"Adelphi Selection - Linkwood 14y, 2008, 1st Fill Olo Sherry HHD, 50.9%, 267b",1460.0,,193.627517,282696,722435,602029,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/adelphi-selection-linkwood-14y-2008-50-9-b,
"Macallan - Rare Cask, 2024 Release, 43%",2788.0,,193.627517,539834,1379557,1149630,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/macallan-rare-cask-2024-release-43,
"Macallan - A Night On Earth in JEREZ, 2024 Release, 43%",968.0,,193.627517,187431,478984,399153,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/macallan-a-night-on-earth-in-scotland-2024-release-43,
"Ardbeg - 19y, 46.2%",2880.0,,193.627517,557647,1425078,1187565,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/ardbeg-19y-v6-46-2,
"The First Editions Authors' Series - Littlemill 30y, 1990, 47.8%, 263b",13800.0,,193.627517,2672060,6828503,5690419,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/authors-series-littlemill-30y-1990-47-8-263b,
"Balvenie - 16y, French Oak, 47.6%",1560.0,,193.627517,302059,771918,643265,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/balvenie-16y-french-oak-47-6,
"Berry's - Craigellachie 13y, 2000, 46%",980.0,,193.627517,189755,484923,404102,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/berry-0010,
"Drunken Master - WHITE CAT Secret Speyside, 19y, 44.8%, 300b, Blended Malt (Macallan Sherry+Highland Park)",2400.0,,193.627517,464706,1187565,989638,N,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/drunken-master-secret-speyside-sherry-cask-blended-whisky-19y-44-8-300b,재고없음
"Macallan - Classic Cut, 2023 Release, 50.3%",1200.0,,193.627517,232353,593783,494819,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/macallan-classic-cut-2023-release-50-3,
"Macallan - Sherry Oak, 30y, 2023 release, 43%",42800.0,,193.627517,8287258,21178254,17648545,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/macallan-sherry-oak-30y-2023-release-43,
"Miyagikyo - 宮城峽 Single Malt Whisky NAS, 45%, 50ml",120.0,,193.627517,23235,59378,49481,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/miyagikyo-宮城峽-single-malt-whisky-nas-45-50ml,
"Taketsuru - 竹鶴 Pure Malt Whisky NAS, 43%, 50ml",120.0,,193.627517,23235,59378,49481,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/taketsuru-竹鶴-pure-malt-43-50ml,
"Yoichi - 余市 Single Malt Whisky NAS, 45%, 50ml",120.0,,193.627517,23235,59378,49481,Y,Caskells(Shopify products.json),2026-06-14,https://www.caskells.com/products/yoichi-余市-single-malt-whisky-45-50ml,
