raw_name,status,canonical_id,canonical_name_ko,match_reason,source_files
&gt;&gt; &gt;&gt; 골든 블루 사피루스 450ml,matched,w064,골든블루 사피루스,rule,2026-04.csv
1792 스몰 배치,matched,w070,1792 스몰배치,rule,2026-05_whiskeypick_traders_guwol.csv
1792 스몰 배치 700ml,matched,w070,1792 스몰배치,rule,2026-05_dailyshot.csv
1792 스몰 배치 750ml,matched,w070,1792 스몰배치,rule,2026-04.csv;2026-05.csv
1792 스몰배치,matched,w070,1792 스몰배치,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
1792 풀프루프가,matched,w070,1792 스몰배치,rule,2026-04.csv;2026-05_dailyshot.csv
[매장행사중 재고확인] 달모어 2005 빈티지,matched,w024,달모어 2005 빈티지,rule,2026-05_dailyshot.csv
가쿠빈,matched,w083,산토리 가쿠빈,rule,2026-05_dailyshot.csv
가쿠빈 700ml,matched,w083,산토리 가쿠빈,rule,2026-03.csv;2026-04.csv;2026-05.csv
가쿠빈 700ml 두 개입 메가잔 패키지,matched,w083,산토리 가쿠빈,rule,2026-05.csv
골든 블루 사피루스,matched,w064,골든블루 사피루스,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
골든 블루 사피루스 450ml,matched,w064,골든블루 사피루스,rule,2026-04.csv;2026-05.csv
골든블루 다이아몬드,matched,w063,골든블루 다이아몬드,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
골든블루 더 다이아몬드,matched,w063,골든블루 다이아몬드,rule,2026-05_dailyshot.csv
골든블루 더 사피루스 330ml,matched,w064,골든블루 사피루스,rule,2026-05_dailyshot.csv
골든블루 사파이러스,matched,w064,골든블루 사피루스,rule,2026-04.csv;2026-05_dailyshot.csv
골든블루 사피루스,matched,w064,골든블루 사피루스,rule,whisky-list.csv
그란츠 트리플 우드 700ml,unmatched,,,,2026-04.csv
글랜고인 18년 700ml,unmatched,,,,2026-04.csv
글랜그란트 12년,matched,w013,글렌그란트 12년,rule,2026-05_dailyshot.csv
글랜그란트 12년 700ml,matched,w013,글렌그란트 12년,rule,2026-04.csv
글랜그란트 15년 700ml,matched,w014,글렌그란트 15년,rule,2026-04.csv
글랜그란트 아보랄리스 700ml,unmatched,,,,2026-04.csv
글랜드로 12년 700ml,unmatched,,,,2026-04.csv
글랜드로 오드 to투더 엠버스,matched,w086,글렌드로(?) 오드 투 더 엠버스,rule,2026-05_dailyshot.csv
글랜드로 오드 to투더 엠버스 700ml,matched,w086,글렌드로(?) 오드 투 더 엠버스,rule,2026-05.csv
글랜드로 오드투더 다크,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05_dailyshot.csv
글랜드로 오드투더 다크 700ml,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05.csv
글랜드로 오드투더 밸리,matched,w085,글렌드로(?) 오드 투 더 밸리,rule,2026-05_dailyshot.csv
글랜드로 오드투더 밸리 700ml,matched,w085,글렌드로(?) 오드 투 더 밸리,rule,2026-05.csv
글랜드로나 12년,matched,w018,글렌드로낙 12년,rule,2026-05_dailyshot.csv
글랜드로나 12년 700ml,matched,w018,글렌드로낙 12년,rule,2026-04.csv
글랜파 클라스 12년,unmatched,,,,2026-05_dailyshot.csv
글랜파 클라스 12년 700ml,unmatched,,,,2026-04.csv
글램 모렌지 D 오리지널 12년,matched,w020,글렌모렌지 12년,rule,2026-05_dailyshot.csv
글램 모렌지 D 오리지널 12년 700ml,matched,w020,글렌모렌지 12년,rule,2026-03.csv
글렌고인 미니어처 세트,unmatched,,,,2026-04.csv
